seqno,elev,row,col,missing,buffer,elev_orig,edge_map,ddir,flatcell,drec
1,,1,1,,True,,True,,False,
2,,1,2,,True,,True,,False,
3,,1,3,,True,,True,,False,
4,,1,4,,True,,True,,False,
5,,1,5,,True,,True,,False,
6,,1,6,,True,,True,,False,
7,,1,7,,True,,True,,False,
8,,1,8,,True,,True,,False,
9,,1,9,,True,,True,,False,
10,,1,10,,True,,True,,False,
11,,1,11,,True,,True,,False,
12,,1,12,,True,,True,,False,
13,,1,13,,True,,True,,False,
14,,1,14,,True,,True,,False,
15,,1,15,,True,,True,,False,
16,,1,16,,True,,True,,False,
17,,1,17,,True,,True,,False,
18,,1,18,,True,,True,,False,
19,,1,19,,True,,True,,False,
20,,1,20,,True,,True,,False,
21,,1,21,,True,,True,,False,
22,,1,22,,True,,True,,False,
23,,1,23,,True,,True,,False,
24,,1,24,,True,,True,,False,
25,,1,25,,True,,True,,False,
26,,1,26,,True,,True,,False,
27,,1,27,,True,,True,,False,
28,,1,28,,True,,True,,False,
29,,1,29,,True,,True,,False,
30,,1,30,,True,,True,,False,
31,,1,31,,True,,True,,False,
32,,1,32,,True,,True,,False,
33,,1,33,,True,,True,,False,
34,,1,34,,True,,True,,False,
35,,1,35,,True,,True,,False,
36,,1,36,,True,,True,,False,
37,,1,37,,True,,True,,False,
38,,1,38,,True,,True,,False,
39,,1,39,,True,,True,,False,
40,,1,40,,True,,True,,False,
41,,1,41,,True,,True,,False,
42,,1,42,,True,,True,,False,
43,,1,43,,True,,True,,False,
44,,1,44,,True,,True,,False,
45,,1,45,,True,,True,,False,
46,,1,46,,True,,True,,False,
47,,1,47,,True,,True,,False,
48,,1,48,,True,,True,,False,
49,,1,49,,True,,True,,False,
50,,1,50,,True,,True,,False,
51,,1,51,,True,,True,,False,
52,,1,52,,True,,True,,False,
53,,1,53,,True,,True,,False,
54,,1,54,,True,,True,,False,
55,,1,55,,True,,True,,False,
56,,1,56,,True,,True,,False,
57,,1,57,,True,,True,,False,
58,,1,58,,True,,True,,False,
59,,1,59,,True,,True,,False,
60,,1,60,,True,,True,,False,
61,,1,61,,True,,True,,False,
62,,1,62,,True,,True,,False,
63,,1,63,,True,,True,,False,
64,,1,64,,True,,True,,False,
65,,1,65,,True,,True,,False,
66,,1,66,,True,,True,,False,
67,,1,67,,True,,True,,False,
68,,1,68,,True,,True,,False,
69,,1,69,,True,,True,,False,
70,,1,70,,True,,True,,False,
71,,1,71,,True,,True,,False,
72,,1,72,,True,,True,,False,
73,,1,73,,True,,True,,False,
74,,1,74,,True,,True,,False,
75,,1,75,,True,,True,,False,
76,,1,76,,True,,True,,False,
77,,1,77,,True,,True,,False,
78,,1,78,,True,,True,,False,
79,,1,79,,True,,True,,False,
80,,1,80,,True,,True,,False,
81,,1,81,,True,,True,,False,
82,,1,82,,True,,True,,False,
83,,1,83,,True,,True,,False,
84,,1,84,,True,,True,,False,
85,,1,85,,True,,True,,False,
86,,1,86,,True,,True,,False,
87,,1,87,,True,,True,,False,
88,,1,88,,True,,True,,False,
89,,1,89,,True,,True,,False,
90,,1,90,,True,,True,,False,
91,,1,91,,True,,True,,False,
92,,1,92,,True,,True,,False,
93,,2,1,,True,,True,,False,
94,679.974,2,2,False,False,679.974,True,6,False,95
95,679.953,2,3,False,False,679.953,True,6,False,96
96,679.897,2,4,False,False,679.897,True,6,False,97
97,679.811,2,5,False,False,679.811,True,6,False,98
98,679.705,2,6,False,False,679.705,True,6,False,99
99,679.583,2,7,False,False,679.583,True,6,False,100
100,679.443,2,8,False,False,679.443,True,6,False,101
101,679.292,2,9,False,False,679.292,True,6,False,102
102,679.13,2,10,False,False,679.13,True,6,False,103
103,678.954,2,11,False,False,678.954,True,6,False,104
104,678.774,2,12,False,False,678.774,True,6,False,105
105,678.592,2,13,False,False,678.592,True,6,False,106
106,678.411,2,14,False,False,678.411,True,3,False,199
107,678.233,2,15,False,False,678.233,True,3,False,200
108,678.059,2,16,False,False,678.059,True,3,False,201
109,677.883,2,17,False,False,677.883,True,3,False,202
110,677.707,2,18,False,False,677.707,True,3,False,203
111,677.52,2,19,False,False,677.52,True,3,False,204
112,677.323,2,20,False,False,677.323,True,6,False,113
113,677.123,2,21,False,False,677.123,True,6,False,114
114,676.923,2,22,False,False,676.923,True,6,False,115
115,676.734,2,23,False,False,676.734,True,6,False,116
116,676.573,2,24,False,False,676.573,True,6,False,117
117,676.443,2,25,False,False,676.443,True,6,False,118
118,676.338,2,26,False,False,676.338,True,6,False,119
119,676.257,2,27,False,False,676.257,True,6,False,120
120,676.193,2,28,False,False,676.193,True,6,False,121
121,676.136,2,29,False,False,676.136,True,3,False,214
122,676.085,2,30,False,False,676.085,True,3,False,215
123,676.041,2,31,False,False,676.041,True,3,False,216
124,676.004,2,32,False,False,676.004,True,3,False,217
125,675.975,2,33,False,False,675.975,True,3,False,218
126,675.953,2,34,False,False,675.953,True,2,False,218
127,675.938,2,35,False,False,675.938,True,2,False,219
128,675.928,2,36,False,False,675.928,True,2,False,220
129,675.919,2,37,False,False,675.919,True,2,False,221
130,675.914,2,38,False,False,675.914,True,2,False,222
131,675.915,2,39,False,False,675.915,True,2,False,223
132,675.922,2,40,False,False,675.922,True,2,False,224
133,675.933,2,41,False,False,675.933,True,2,False,225
134,675.943,2,42,False,False,675.943,True,2,False,226
135,675.95,2,43,False,False,675.95,True,2,False,227
136,675.948,2,44,False,False,675.948,True,2,False,228
137,675.941,2,45,False,False,675.941,True,2,False,229
138,675.938,2,46,False,False,675.938,True,2,False,230
139,675.947,2,47,False,False,675.947,True,2,False,231
140,675.977,2,48,False,False,675.977,True,1,False,231
141,676.024,2,49,False,False,676.024,True,1,False,232
142,676.08,2,50,False,False,676.08,True,1,False,233
143,676.136,2,51,False,False,676.136,True,1,False,234
144,676.187,2,52,False,False,676.187,True,1,False,235
