shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,pour_elev,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
1,1249,False,32,2.439999999999827,672.899,2543,28,59,0,1.9535628502800857,673.072,3002,33,58,673.072,3094,34,58,673.066,4,False,671.127,5020.0,671.287
2,1679,True,33,2.0460000000009586,671.28,6442,71,2,0,1.2185824895777002,671.422,7454,82,2,671.422,7546,83,2,671.417,10,True,670.913,8282.0,671.422
3,882,False,136,39.944999999998345,672.747,2745,30,77,0,45.28911564625663,673.462,2276,25,68,673.462,2367,26,67,673.45,1,False,672.899,2543.0,673.072
4,1490,False,75,6.092000000002599,671.127,5020,55,52,0,4.08859060402859,671.287,5660,62,48,671.284,5752,63,48,671.287,8,True,669.989,7766.0,671.287
5,77,True,24,2.5479999999989786,675.696,156,2,64,0,33.09090909089583,675.978,524,6,64,675.978,616,7,64,675.971,1,False,672.899,2543.0,673.072
6,510,False,117,22.88799999999344,673.155,4402,48,78,0,44.878431372536156,673.608,3574,39,78,673.608,3482,38,78,673.592,3,False,672.747,2745.0,673.462
7,652,True,62,14.354000000001406,672.244,8351,91,71,0,22.01533742331504,672.874,8252,90,64,672.859,8343,91,63,672.874,9,True,671.297,8329.0,671.298
8,1261,True,283,142.38900000001024,669.989,7766,85,38,0,112.91752577320399,671.287,5752,63,48,671.287,5660,62,48,671.284,4,False,671.127,5020.0,671.287
9,115,True,1,0.0009999999999763531,671.297,8329,91,49,0,0.008695652173707418,671.298,8329,91,49,671.297,8328,91,48,671.298,8,True,669.989,7766.0,671.287
10,185,True,45,7.718000000000984,670.913,8282,91,2,0,41.71891891892424,671.422,7546,83,2,671.417,7454,82,2,671.422,2,True,671.28,6442.0,671.422
